old_claim,roll,0,1,2,3,4,5,6
0,1,-1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
0,2,-1.00000,0.40825,0.59175,0.00000,0.00000,0.00000,0.00000
0,3,-1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
0,4,-1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000
0,5,-1.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0,6,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,1,-1.00000,-1.00000,0.00000,0.75827,0.24173,0.00000,0.00000
1,2,-1.00000,-1.00000,0.15342,0.61360,0.23298,0.00000,0.00000
1,3,-1.00000,-1.00000,0.00000,1.00000,0.00000,0.00000,0.00000
1,4,-1.00000,-1.00000,0.00000,0.08667,0.91333,0.00000,0.00000
1,5,-1.00000,-1.00000,0.00000,0.00000,0.19318,0.80682,0.00000
1,6,-1.00000,-1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2,1,-1.00000,-1.00000,-1.00000,1.00000,0.00000,0.00000,0.00000
2,2,-1.00000,-1.00000,-1.00000,0.00000,1.00000,0.00000,0.00000
2,3,-1.00000,-1.00000,-1.00000,1.00000,0.00000,0.00000,0.00000
2,4,-1.00000,-1.00000,-1.00000,0.50000,0.50000,0.00000,0.00000
2,5,-1.00000,-1.00000,-1.00000,0.19457,0.03566,0.76977,0.00000
2,6,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000,0.00000
3,1,-1.00000,-1.00000,-1.00000,-1.00000,0.28571,0.71429,0.00000
3,2,-1.00000,-1.00000,-1.00000,-1.00000,0.33333,0.33333,0.33333
3,3,-1.00000,-1.00000,-1.00000,-1.00000,0.33333,0.33333,0.33333
3,4,-1.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000,0.00000
3,5,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000,0.00000
3,6,-1.00000,-1.00000,-1.00000,-1.00000,0.00000,0.00000,0.00000
4,1,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000
4,2,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000
4,3,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000
4,4,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.50000,0.50000
4,5,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000,0.00000
4,6,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.00000,0.00000
5,1,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,2,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,3,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,4,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,5,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,1.00000
5,6,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.00000
