P0 xoxoxo......,0
P0 xoxoxoxo....,0
P0 xoxoxoxox.o.,0
P0 xoxoxoxoxxo.,0
P0 xoxoxoxox..o,0
P0 xoxoxoxoxx.o,0
P0 xoxoxoxo.x..,0
P0 xoxoxoxoo.x.,0
P0 xoxoxoxooxx.,0
P0 xoxoxoxo..xo,0
P0 xoxoxoxo.xxo,0
P0 xoxoxoxoo..x,0
P0 xoxoxoxoox.x,0
P0 xoxoxoxo..ox,0
P0 xoxoxoxo.xox,0
P0 xoxoxoxxoo..,0
P0 xoxoxoxxoox.,0
P0 xoxoxoxxo.o.,0
P0 xoxoxoxxoxo.,0
P0 xoxoxoxxo..o,0
P0 xoxoxoxxox.o,0
P0 xoxoxoxxo.xo,0
P0 xoxoxox.o...,0
P0 xoxoxoxxo...,0
P0 xoxoxox.ox..,0
P0 xoxoxox.o.x.,0
P0 xoxoxox.oox.,0
P0 xoxoxox.o.xo,0
P0 xoxoxox.oxxo,0
P0 xoxoxox.o.ox,0
P0 xoxoxox.oxox,0
P0 xoxoxoxx.o.o,0
P0 xoxoxoxx.oxo,0
P0 xoxoxox..oxo,0
P0 xoxoxoxx..oo,0
P0 xoxoxoxx.xoo,0
P0 xoxoxox.x.oo,0
P0 xoxoxox.xxoo,0
P0 xoxoxox...o.,0
P0 xoxoxox..xo.,0
P0 xoxoxox....o,0
P0 xoxoxoxx...o,0
P0 xoxoxox..x.o,0
P0 xoxoxox...xo,0
P0 xoxoxo.x....,0
P0 xoxoxoox....,0
P0 xoxoxooxx...,0
P0 xoxoxooxxo..,0
P0 xoxoxooxxox.,0
P0 xoxoxooxxo.x,0
P0 xoxoxooxx.o.,0
P0 xoxoxooxxxo.,0
P0 xoxoxooxx.ox,0
P0 xoxoxooxx..o,0
P0 xoxoxooxxx.o,0
P0 xoxoxooxx.xo,0
P0 xoxoxoox.x..,0
P0 xoxoxoox..x.,0
P0 xoxoxoox...x,0
P0 xoxoxooxo..x,0
